model,category,part_number,normalized_part_number,description
PL-L800,Turntable,PEA-052,PEA-052,Rubber mat assemby
PL-640/S40,Turntable,PEA-067,PEA-067,Rubber mat assembly
PL-600/600X,Turntable,PEA-079,PEA-079,Screw
PL-L800,Turntable,PEA-905,PEA-905,Screw
PL-510,Turntable,PEB-009,PEB-009,Rubber cushion
PL-510S,Turntable,PEB-009,PEB-009,Rubber cushion
PL-112D,Turntable,PEB-010,PEB-010,Rubber grommet (A)
PL-117D,Turntable,PEB-010,PEB-010,Rubber grommet (A)
PL-510,Turntable,PEB-010,PEB-010,Rubber grommet A
PL-510A,Turntable,PEB-010,PEB-010,Rubber grommet (A)
PL-510S,Turntable,PEB-010,PEB-010,Rubber grommet A
PL-112D,Turntable,PEB-011,PEB-011,Rubber grommet (B)
PL-117D,Turntable,PEB-011,PEB-011,Rubber grommet (B)
PL-510,Turntable,PEB-011,PEB-011,Rubber grommet B
PL-510A,Turntable,PEB-011,PEB-011,Rubber grommet (B)
PL-510S,Turntable,PEB-011,PEB-011,Rubber grommet B
PL-510,Turntable,PEB-034,PEB-034,Rubber mat
PL-510S,Turntable,PEB-034,PEB-034,Rubber mat
PL-560,Turntable,PEB-037,PEB-037,Rubber cushion
PL-510A,Turntable,PEB-041,PEB-041,Rubber cushion
PL-520,Turntable,PEB-041,PEB-041,Rubber cushion
PLC-590,Turntable,PEB-046,PEB-046,Lamp holder (A - Speed)
PLC-590,Turntable,PEB-046,PEB-046,Lamp holder (Power)
PL-516,Turntable,PEB-068,PEB-068,Rubber bush
PL-516,Turntable,PEB-074,PEB-074,Rubber cushion
PL-540,Turntable,PEB-086,PEB-086,Foot rubber
PL-600/600X,Turntable,PEB-096,PEB-096,Tube
PL-600/600X,Turntable,PEB-097,PEB-097,Belt
PL-630,Turntable,PEB-097,PEB-097,Belt
PL-L1000,Turntable,PEB-097,PEB-097,Belt
PL-500,Turntable,PEB-102,PEB-102,Damper cushion A
PL-500X,Turntable,PEB-102,PEB-102,Damper cushion A
PL-600/600X,Turntable,PEB-102,PEB-102,Damper rubber A
PL-L1000,Turntable,PEB-102,PEB-102,Rubber cushion A
PL-500,Turntable,PEB-114,PEB-114,Rubber bush (KUT)
PL-540,Turntable,PEB-119,PEB-119,Lamp holder
PL-600/600X,Turntable,PEB-122,PEB-122,Washer
PL-600/600X,Turntable,PEB-123,PEB-123,Bush
PL-600/600X,Turntable,PEB-143,PEB-143,Tube
PL-100/100X,Turntable,PEB-150,PEB-150,Rubber mat
PL-200/200X,Turntable,PEB-150,PEB-150,Rubber mat assembly (KCT)
PL-200/200X,Turntable,PEB-150,PEB-150,Rubber mat assembly (KCT)
PL-200/200X,Turntable,PEB-152,PEB-152,"Rubber mat assembly (KUT, KU)"
PL-200/200X,Turntable,PEB-152,PEB-152,"Rubber mat assembly (KUT, KU)"
PL-L1000,Turntable,PEB-155,PEB-155,Stopper cushion
PL-L1000,Turntable,PEB-158,PEB-158,Rubber cap
PL-100/100X,Turntable,PEB-163,PEB-163,Rubber cushion
PL-200/200X,Turntable,PEB-163,PEB-163,Rubber cushion
PL-L1000,Turntable,PEB-167,PEB-167,Tube
PL-L1000,Turntable,PEB-170,PEB-170,Tube
PL-L1000,Turntable,PEB-171,PEB-171,Rubber pad
PL-L800,Turntable,PEB-171,PEB-171,Rubber pad
PL-100/100X,Turntable,PEB-172,PEB-172,Rubber cushion
PL-L800,Turntable,PEB-192,PEB-192,Rubber bush
PL-L800,Turntable,PEB-197,PEB-197,Damper cushion
PL-640/S40,Turntable,PEB-250,PEB-250,Rubber
PL-640/S40,Turntable,PEB-258,PEB-258,Insulator
PL-12DII,Turntable,PEC-004-A,PEC-004,Buffer
PL-55X,Turntable,PEC-004-0,PEC-004,Buffer
PL-112D,Turntable,PEC-012,PEC-012,Overhang gauge
PL-117D,Turntable,PEC-012,PEC-012,Overhang gauge
PL-510,Turntable,PEC-012,PEC-012,Overhang gauge
PL-510A,Turntable,PEC-012,PEC-012,Overhang gauge
PL-510S,Turntable,PEC-012,PEC-012,Overhang gauge
PL-530,Turntable,PEC-012,PEC-012,Overhang gauge
PL-550,Turntable,PEC-012,PEC-012,Overhang gauge
PL-570,Turntable,PEC-012,PEC-012,Overhang gauge
PL-630,Turntable,PEC-012,PEC-012,Overhang gauge
PL-L1000,Turntable,PEC-012,PEC-012,Overhang gauge
PL-510,Turntable,PEC-015,PEC-015,Cushion
PL-510S,Turntable,PEC-015,PEC-015,Cushion
PL-518,Turntable,PEC-018,PEC-018,Insulator (HGT)
PL-117D,Turntable,PEC-025,PEC-025,Microswitch cover
PL-550,Turntable,PEC-028,PEC-028,Platter mat cover (KCT only)
PL-518,Turntable,PEC-044,PEC-044,Insulator (KUT only)
PL-540,Turntable,PEC-044,PEC-044,lnsulator
PL-500,Turntable,PEC-051,PEC-051,Strain relief
PL-500X,Turntable,PEC-051,PEC-051,Strain relief
PL-600/600X,Turntable,PEC-051,PEC-051,Strain relief
PL-600/600X,Turntable,PEC-051,PEC-051,Strain relief (PL-600X)
PL-L1000,Turntable,PEC-051,PEC-051,Strain relief
PL-L1000,Turntable,PEC-051,PEC-051,"Strain relief (HET, HBT)"
PL-500X,Turntable,PEC-052,PEC-052,Insulator
PL-L1000,Turntable,PEC-052,PEC-052,"Insulator (HET, HBT)"
PL-L800,Turntable,PEC-053,PEC-053,Strain relief
PL-100/100X,Turntable,PEC-056,PEC-056,Strain relief
PL-200/200X,Turntable,PEC-056,PEC-056,Strain relief
PL-200/200X,Turntable,PEC-057,PEC-057,Insulator
PL-200/200X,Turntable,PEC-058,PEC-058,Strain relief
PL-500,Turntable,PEC-059,PEC-059,Insulator
PL-L1000,Turntable,PEC-063,PEC-063,Nylon ball 3ɸ
PL-200/200X,Turntable,PEC-065,PEC-065,EV cam cushion
PL-510,Turntable,PED-004,PED-004,Output cord
PL-510S,Turntable,PED-004,PED-004,Output cord
PL-L1000,Turntable,PED-016,PED-016,Cleaning cloth
PL-640/S40,Turntable,PED-021,PED-021,Cushion (A)
PL-510,Turntable,PEF-001,PEF-001,Steel ball
PL-510S,Turntable,PEF-001,PEF-001,Steel ball
PLC-590,Turntable,PEF-003,PEF-003,Hexagonal wrench
PL-510A,Turntable,PEK-005,PEK-005,Power supply assembly B Fuse 0.4A (HGT)
PL-500X,Turntable,PEK-023,PEK-023,Fuse Fu1
PL-500,Turntable,PEK-027,PEK-027,Fuse
PL-500X,Turntable,PEK-033,PEK-033,Fuse Fu2
PL-71,Turntable,PEL-001-0,PEL-001,Strobo lamp
PL-518,Turntable,PEL-005,PEL-005,Neon lamp
PL-520,Turntable,PEL-005,PEL-005,Neon lamp
PL-530,Turntable,PEL-005,PEL-005,Neon lamp
PL-510,Turntable,PEL-009,PEL-009,Neon lamp
PL-510A,Turntable,PEL-009,PEL-009,Neon lamp
PL-510S,Turntable,PEL-009,PEL-009,Neon lamp
PLC-590,Turntable,PEL-016,PEL-016,Lamp (A - Speed)
PLC-590,Turntable,PEL-017,PEL-017,Lamp (B - Meter scale)
PLC-590,Turntable,PEL-018,PEL-018,Lamp (C - Quartz lock)
PL-550,Turntable,PEL-019,PEL-019,Neon lamp
PL-570,Turntable,PEL-019,PEL-019,Neon lamp
PLC-590,Turntable,PEL-020,PEL-020,Pilot lamp 8V 50mA (POWER)
PL-518,Turntable,PEL-021,PEL-021,Neon lamp (HGT)
PL-630,Turntable,PEL-025,PEL-025,Lamp
PL-516,Turntable,PEL-030,PEL-030,Neon lamp
PL-540,Turntable,PEL-031,PEL-031,Neon lamp
PL-560,Turntable,PEL-031,PEL-031,Neon lamp
PL-630,Turntable,PEL-033,PEL-033,Lamp
PL-540,Turntable,PEL-035,PEL-035,Neon lamp
PL-560,Turntable,PEL-036,PEL-036,Meter lamp
PL-200/200X,Turntable,PEL-037,PEL-037,Neon lamp
PL-500,Turntable,PEL-039,PEL-039,Neon lamp
PL-500X,Turntable,PEL-039,PEL-039,Neon lamp
PL-600/600X,Turntable,PEL-040,PEL-040,Lamp
PL-L1000,Turntable,PEL-041,PEL-041,Lamp
PL-L800,Turntable,PEL-041,PEL-041,Lamp 8V 70 mA
PL-100/100X,Turntable,PEL-042,PEL-042,Neon lamp
PL-112D,Turntable,PEM-001,PEM-001,Lubricator
PL-117D,Turntable,PEM-001,PEM-001,Lubricator
PL-570,Turntable,PH-101-L,PH-101,Photo transistor
PL-520,Turntable,PHA-052,PHA-052,Protector
PL-520,Turntable,PHA-053,PHA-053,Protector
PL-516,Turntable,PHA-055,PHA-055,Protector
PL-516,Turntable,PHA-060,PHA-060,Protector
PL-630,Turntable,PHA-069,PHA-069,Protector
PL-500,Turntable,PHA-077,PHA-077,Protector
PL-500X,Turntable,PHA-077,PHA-077,Protector
PL-600/600X,Turntable,PHA-080,PHA-080,Protector
PL-100/100X,Turntable,PHA-107,PHA-107,Side protector L
PL-200/200X,Turntable,PHA-107,PHA-107,Side protector L
PL-100/100X,Turntable,PHA-108,PHA-108,Side protector R
PL-200/200X,Turntable,PHA-108,PHA-108,Side protector R
PL-L1000,Turntable,PHA-109,PHA-109,Protector L
PL-L1000,Turntable,PHA-110,PHA-110,Protector R
CT-F8282,Cassette Tape,PHA-122,PHA-122,Side pad
PL-L800,Turntable,PHA-125,PHA-125,Protector (L)
PL-L800,Turntable,PHA-126,PHA-126,Protector (R)
PL-L800,Turntable,PHA-131,PHA-131,Tonearm protector
PL-100/100X,Turntable,PHB-162,PHB-162,Operating instructions
PL-640/S40,Turntable,PHB-232,PHB-232,Operating instructions (English)  PL-S40/KUT Type
