model,category,key_no,symbol,part_number,description
SA-9900,Integrated Amplifier,2,,ANB-337-A,Side Panel (L) (Model D)
SA-9900,Integrated Amplifier,2,,ANB-338-0,Side Panel (L) (Model GN)
TX-9100,Tuner,,,AAA-017-A,Knob (TUNING)
TX-9100,Tuner,,,AAB-041-0,Knob (FUNCTION)
TX-9100,Tuner,,,AAD-040-B,"Knob (POWER,MUTING,NOISE FILTER,PULSE NOISE)"
TX-9100,Tuner,,"VR1,VR2,VR3",ACV-115-0,"Potentiometer (dual) 100k-B2. (OUTPUT LEVEL - AM,FM,PHONES)"
TX-9100,Tuner,,,ANB-189,Front panel assembly
TX-9100,Tuner,,"S2,S3",ASK-042-0,Switch (MUTING/MPX FILTER)
TX-9100,Tuner,,S1,ASK-043-0,Switch (PULSE NOISE)
A-9,Integrated Amplifier,,,ARB-396,Operating instructions A-9
A-9,Integrated Amplifier,,,ASG-534,SWITCH(POWER - Pioneer Electronics database) - KU?
SG-9500,Equalizer,,,ANE-079,BONNET
RG-1,Dynamic Range Expander,,,ABA-012,SCREW(STEEL)
RG-1,Dynamic Range Expander,,,ANE-096,BONNET
RG-2,Dynamic Range Expander,,,AEL-324,LED(SPEAKER/TAPE MONITOR)
RG-2,Dynamic Range Expander,,,AEL-325,LED(POWER)
RG-2,Dynamic Range Expander,,,ART-366,Service manual  RG-2
RG-2,Dynamic Range Expander,,,ASG-317,SWITCH(TAPE/PROCESSOR ASSY)
A-8,Integrated Amplifier,,,AAB-259,KNOB(BASS/TREBLE)
A-8,Integrated Amplifier,,,ACH-209,CAPA(12000/63V)
A-8,Integrated Amplifier,,,AEL-325,LED(POWER)
A-8,Integrated Amplifier,,,AEL-346,GREEN LED
A-8,Integrated Amplifier,,,ANB-976,DOOR
A-8,Integrated Amplifier,,,ARB-395,Operating instructions  A-8
A-8,Integrated Amplifier,,,ASG-280,SWITCH(FUNCTION)
A-8,Integrated Amplifier,,,ASG-281,PUSH SWITCH
A-8,Integrated Amplifier,,,AXC-008,DOOR
TX-9800,Tuner,,,AAA-057,KNOB(TUNING)
TX-9800,Tuner,,,AAB-196,KNOB(SPKR/BASS/TREBLE/BAL
TX-9800,Tuner,,,AAW-002,METER(TUNING)
TX-9800,Tuner,,,ARB-308,O/M TX-9800
TX-9800,Tuner,,,ART-346,S/M(TX9800)
TX-9800,Tuner,,,ASK-109,SWITCH(TONE)
TX-9800,Tuner,,,ASK-112,SWITCH
TX-9800,Tuner,,,ASK-124,POWER SWITCH
TX-9800,Tuner,,,AXB-012,BRACKET F/ANTENNA SX750
TX-9500,Tuner,,,ARB-132,Operating instructions TX-9500
TX-9500,Tuner,,,ART-106,Service Manual TX-9500
TX-9500II,Tuner,,,ADF-125,CORD SET
TX-9500II,Tuner,,,AEL-072,"PILOT LAMP(SPEAKER ""B""/STEREO)"
TX-9500II,Tuner,,,AEL-080,PILOT LAMP
TX-9500II,Tuner,,,ANE-115,BONNET
A-27,Integrated Amplifier,,,ACH-202,CAPACITOR
A-27,Integrated Amplifier,,,ACN-020,RESISTOR
A-40,Integrated Amplifier,,,ANB-632,FRONT PANEL
A-40,Integrated Amplifier,,,ARB-284,Operating instructions A-27
A-70,Integrated Amplifier,,,ACN-039,RESISTOR(.22 OHMS/2 WATTS)
A-70,Integrated Amplifier,,,ACN-064,RESISTOR A70
A-70,Integrated Amplifier,,,AEL-388,LED(STEREO/POWER)
A-717,Integrated Amplifier,,,ACH-268,CAP(12000/71V)A-80
A-717,Integrated Amplifier,,,ACH-269,CAP(1000/100V)A-80
A-717,Integrated Amplifier,,,ACN-144,RESISTOR(150 OHMS/10 WATTS)
A-717,Integrated Amplifier,,,ACN-146,RESISTOR A-80 .22/5WX2
A-717,Integrated Amplifier,,,AEC-613,FOOT ASSY
A-717,Integrated Amplifier,,,AEL-075,"SPKR, FUNCTION LAMP"
A-717,Integrated Amplifier,,,AEL-093,PILOT LAMP A-80
A-717,Integrated Amplifier,,,AEL-404,LED AX3
A-717,Integrated Amplifier,,,ASE-023,SWITCH(MODE)
A-717,Integrated Amplifier,,,ASG-545,SWITCH(POWER)
A-717,Integrated Amplifier,,,SEAV2S,SWITCH(RANGE/SUBSONIC/SIMULATED
A-717,Integrated Amplifier,,,SEAV4S,SWITCH(FUNCTION-AUX#1/#2...ETC.
A-717,Integrated Amplifier,,,ACH1045,CAPACITOR A717(22000/63V)
A-717,Integrated Amplifier,,,ACN-139,RESISTOR(.33X2/5W)
A-717,Integrated Amplifier,,,AEK1002,FUSE 8A
A-717,Integrated Amplifier,,,ASD1002,SW(SPKR)A7171
A-717,Integrated Amplifier,,,ASG-553,SWITCH(POWER)A91D
A-717,Integrated Amplifier,,,ASG1018,SW(DIRECT)A717
A-717,Integrated Amplifier,,,ASU1002,SW(REC SELECTOR)
A-717,Integrated Amplifier,,,ASU1006,SW(INPUT SELECTOR)A717
A-717,Integrated Amplifier,,,ASU1008,SW(PHONO SELECTOR)A717
A-40,Integrated Amplifier,,,ACH-238,CAPA(8200/56V)SA1060
A-40,Integrated Amplifier,,,ACN-131,RESISTOR(.22 OHMS/2 WATT X 2)
A-40,Integrated Amplifier,,,AEL-369,"LED(VCR#1/VCR#2 ""ORANGE"")"
A-40,Integrated Amplifier,,,AEL-370,LED SA930
A-40,Integrated Amplifier,,,AKH-017,TRANSISTOR SOCKET
A-40,Integrated Amplifier,,,ASG-541,SWITCH(POWER/FUNCTION)
A-40,Integrated Amplifier,,,ASG-812,SWITCH(FUNCT-TUNER/PHONO/TAPE)
A-40,Integrated Amplifier,,,SEA8V2BBB4S,SWITCH(LOUDNESS/ADAPTOR/TAPE 2)
A-40,Integrated Amplifier,,,SEAV4S,SWITCH(FUNCTION-AUX#1/#2...ETC.
A-40,Integrated Amplifier,,,SUL6MYBXSFC,"SWITCH(SPEAKER ""A""/""B"")"
A-88X,Integrated Amplifier,,,AEL-383,LED(POWER)SAV1200BK
A-88X,Integrated Amplifier,,,AEL-388,LED(STEREO/POWER)
A-90,Integrated Amplifier,,,SEA5V4B4S,SWITCH A90
A-91D,Integrated Amplifier,,,ACH1046,CAPACITOR A91(27000/80V)
A-91D,Integrated Amplifier,,,ASD1002,SW(SPKR)A7171
A-91D,Integrated Amplifier,,,ASG-553,SWITCH(POWER)A91D
A-91D,Integrated Amplifier,,,ASG-711,SW(FUNCT)POWER
C-21,Pre-Amplifier,,,ARB-230,O/M C-21
C-21,Pre-Amplifier,,,ART-227,"Service manual  C-21/S,KL"
C-21,Pre-Amplifier,,,AEL-047,PILOT LAMP(SPEAKER)
C-21,Pre-Amplifier,,,AKB-036,RP TERMINAL
SA-9900,Integrated Amplifier,1,,ANK-073-A,Wire guide
SA-9900,Integrated Amplifier,2,,ANB-316-0,Side panel (L)
SA-9900,Integrated Amplifier,3,,AND-081-A,Side stay (L)
SA-9900,Integrated Amplifier,4,,ANF-287-0,Slide switch mount
SA-9900,Integrated Amplifier,5,,ASH-012-0,"Slide switch (S14, PRE/POWER AMP)"
SA-9900,Integrated Amplifier,6,,AWS-079-0,Tone switch circuit assembly
SA-9900,Integrated Amplifier,7,,AWS-080-0,Switch circuit assembly
SA-9900,Integrated Amplifier,9,,ANH-234-0,Shield cover
SA-9900,Integrated Amplifier,10,,ASB-047-0,"Rotary switch (S15, SPEAKERS)"
SA-9900,Integrated Amplifier,11,,AND-086-0,Panel stay
SA-9900,Integrated Amplifier,12,,ASG-043-B,"Push switch (S18, POWER) (Model KCU)"
SA-9900,Integrated Amplifier,13,,ANF-289-0,Switch mount plate
SA-9900,Integrated Amplifier,14,,K72-026-0,Phone jack (PHONES)
SA-9900,Integrated Amplifier,15,,ACV-315-0,"Variable resistor (VR2, VOLUME)"
SA-9900,Integrated Amplifier,16,,ABE-001-0,Claw washer
SA-9900,Integrated Amplifier,17,,ABN-009-0,Special nut
SA-9900,Integrated Amplifier,18,,B71-004-0,Nut (9φ)
SA-9900,Integrated Amplifier,19,,AEB-051-A,Lamp holder
SA-9900,Integrated Amplifier,20,,AEL-022-A,"Lamp (with leads, PL1, 8V 50mA)"
SA-9900,Integrated Amplifier,21,,ANB-314-A,Front panel assembly
SA-9900,Integrated Amplifier,22,,M45-086-A,Washer (t = 1mm)
SA-9900,Integrated Amplifier,23,,B71-004-0,Nut (9φ)
SA-9900,Integrated Amplifier,24,,AAB-086-0,"Knob (BASS-50HZ, BASS-100HZ,TREBLE-10kHZ, TREBLE-20kHZ,SPEAKERS, MODE, BALANCE)"
SA-9900,Integrated Amplifier,25,,AAD-040-B,"Knob (TONE, LOW FILTER, HIGH FILTER, ATTENUATOR, TAPE MONITOR, TAPE DUPLICATE)"
SA-9900,Integrated Amplifier,26,,AAD-086-0,Knob (POWER)
SA-9900,Integrated Amplifier,27,,AAB-085-A,Knob (VOLUME)
SA-9900,Integrated Amplifier,28,,AAB-084-0,Knob (FUNCTION)
SA-9900,Integrated Amplifier,29,T1,ATT-206-0,Power transformer (KCU)
SA-9900,Integrated Amplifier,30,,ANH-233-A,Shield cover
SA-9900,Integrated Amplifier,31,,AWG-031-0,Control amplifier assembly
SA-9900,Integrated Amplifier,32,,AWM-071-0,Protection circuit assembly
SA-9900,Integrated Amplifier,33,,ANF-290-0,Sub-chassis
SA-9900,Integrated Amplifier,34,,AWR-069-A,Power supply circuit assembly (KCU)
SA-9900,Integrated Amplifier,35,,AEC-181-0,"Cover, AC outlet"
SA-9900,Integrated Amplifier,36,,AKP-005-0,"AC socket outlet (KCU, D)"
SA-9900,Integrated Amplifier,37,,AKE-025-0,Push terminal (SPEAKERS)
SA-9900,Integrated Amplifier,38,S16,ASR-009-A,Relay (S16)
SA-9900,Integrated Amplifier,39,,AEC-182-0,"Cover, phono jack"
SA-9900,Integrated Amplifier,40,,AKB-023-0,"Phono jack (4-jacks, RCA type)"
SA-9900,Integrated Amplifier,41,,ANA-077-B,Chassis (L)
SA-9900,Integrated Amplifier,42,,AEC-009-0,Wire clip (A)
SA-9900,Integrated Amplifier,43,,ANA-075-B,Chassis (C)
SA-9900,Integrated Amplifier,44,,AEC-024-0,Wire clip (D)
SA-9900,Integrated Amplifier,45,,AEC-183-0,Boss
SA-9900,Integrated Amplifier,46,,AWX-083-0,Fuse board assembly
SA-9900,Integrated Amplifier,47,,K13-048-0,Ground terminal 2P
SA-9900,Integrated Amplifier,43,,ANA-076-A,Chassis (R)
SA-9900,Integrated Amplifier,49,,AWK-038-C,Input circuit assembly
SA-9900,Integrated Amplifier,50,,AKE-012-A,Binding post (GND)
SA-9900,Integrated Amplifier,51,,ABE-006-0,Claw washer
SA-9900,Integrated Amplifier,52,,B71-010-0,Nut (7φ)
SA-9900,Integrated Amplifier,53,,ANB-315-0,Side panel (R)
SA-9900,Integrated Amplifier,54,,AAB-046-A,"Knob (PHONO 2 LEVEL, lMPEDANCE)"
SA-9900,Integrated Amplifier,55,,ACH-046-0,"Electrolytic capacitor 22,000uF 63V (C1, C2)"
SA-9900,Integrated Amplifier,56,,ANH-231-A,Front shield cover
SA-9900,Integrated Amplifier,57,,ANE-072-A,Top cover
SA-9900,Integrated Amplifier,58,,ANH-232-0,Shield cover
SA-9900,Integrated Amplifier,59,,AEK-106-0,"Fuse 1A (F4, lamp)"
SA-9900,Integrated Amplifier,60,,AEK-106-0,"Fuse 1A (FL F3, secondary)"
SA-9900,Integrated Amplifier,61,,AWR-070-A,Power supply circuit assembly-2 (KCU)
SA-9900,Integrated Amplifier,62,,AWX-073-A,Volume circuit assembly
SA-9900,Integrated Amplifier,63,,ANE-073-B,"Cover, power transistor"
SA-9900,Integrated Amplifier,65,,AND-080-A,Side stay (R)
SA-9900,Integrated Amplifier,66,,ANE-071-A,Bottom plate
SA-9900,Integrated Amplifier,67,,AEC-178-0,Foot assembly
SA-9900,Integrated Amplifier,68,,K13-047-0,Ground terminal 4P
SA-9900,Integrated Amplifier,69,,AEK-300-0,"Fuse 8A (F1, primary)"
SA-9900,Integrated Amplifier,70,,AEC-079-0,Cord grommet
SA-9900,Integrated Amplifier,71,,ADG-011-0,AC power cord (KCU)
SA-9900,Integrated Amplifier,72,,ANH-247-0,Shield plate
SA-9900,Integrated Amplifier,73,,AEC-037-0,Wire clip (S)
SA-9900,Integrated Amplifier,74,,AEC-193-0,Lock plate
SA-9900,Integrated Amplifier,75,,ANF-309-A,P.C. board mount metal
SA-9900,Integrated Amplifier,76,,AWR-077-0,Power supply circuit assembly-3
SA-9900,Integrated Amplifier,77,,AEC-085-0,Nut (insulator)
SA-9900,Integrated Amplifier,78,,K72-020-0,Phono jack (MIC)
SA-9900,Integrated Amplifier,79,,E32-045-A,Washer (insulator)
SA-9900,Integrated Amplifier,80,,E34-004-D,Washer (insulator)
SA-9900,Integrated Amplifier,81,S17,ASR-011-0,Relay (S17)
SA-9900,Integrated Amplifier,82,,ABA-079-A,Tapping screw 4X3
SA-9900,Integrated Amplifier,83,,ABA-083-0,Tapping screw 4X12
SA-9900,Integrated Amplifier,64,,AWH-037-A,Power Amplifier Assembly
SA-9900,Integrated Amplifier,7,,ACV-145-0,Variable Resistor 50K-AC (BALANCE)
SA-9900,Integrated Amplifier,6,,ASD-023-B,"Rotary Switch (BASS, 100Hz)"
SA-9900,Integrated Amplifier,6,,ASS-024-A,"Rotary Switch (TREBLE, 10KHz)"
SA-9900,Integrated Amplifier,6,,ASD-025-A,"Rotary Switch (TREBLE, 20KHz)"
SA-9900,Integrated Amplifier,6,,ASD-022-A,"Rotary Switch (BASS, 50Hz)"
SA-9900,Integrated Amplifier,7,,ASD-020-A,Rotary Switch (MODE)
SA-9900,Integrated Amplifier,7,,ASK-087-A,Lever Switch (ATTENUATOR )
SA-9900,Integrated Amplifier,7,,ASK-085-0,Lever Switch (LOW FILTER/HIGH FILTER)
SA-9900,Integrated Amplifier,7,,ASK-091-A,Lever Switch (TONE)
SA-9900,Integrated Amplifier,62,,ACT-304-0,Variable Resistor (PHONO 2/MIC LEVEL) 4-gang 2K-HB/10K-HB
SA-9900,Integrated Amplifier,62,,ACV-146-0,Impedance Selector 233K (PHONO 2 IMPEDANCE)
SA-9900,Integrated Amplifier,49,,ASD-021-A,Rotary Switch (FUNCTION)
SA-9900,Integrated Amplifier,49,,ASK-084-A,Lever Switch (TAPE DUPLICATE)
SA-9900,Integrated Amplifier,49,,ASK-086-A,Lever Switch (TAPE MONITOR)
SA-9900,Integrated Amplifier,64,,AKH-001-0,Transistor Socket
SA-9900,Integrated Amplifier,64,,AND-080-A,Power Amplifier Block
SA-9900,Integrated Amplifier,64,,ANH-236-B,Heatsink
C-90,Pre-Amplifier,,,ASG-553,SWITCH(POWER)A91D
C-90,Pre-Amplifier,,,ASG-711,SW(FUNCT)POWER
C-90,Pre-Amplifier,,,AXX1003,REMOTE SENSOR SDP40
C-91,Pre-Amplifier,,,ASG-553,SWITCH(POWER)A91D
M-25,Amplifier,,,ARB-297,O/M M-25
M-25,Amplifier,,,ART-304,S/M M-25
M-91,Amplifier,,,ASE1001,SWITCH(INPUT SELECTOR)
M-91,Amplifier,,,ASG-553,SWITCH(POWER)A91D
M-91,Amplifier,,,SUL8LXXXS,SWITCH(SPKR A&B)
QA-800,Integrated Amplifier,,,AKR-012,FUSE HOLDER
QA-800A,Integrated Amplifier,,,AMM-017,CABINET
QL-600,Integrated Amplifier,,,AEL-015,LAMP(DIAL/POWER)
QL-600,Integrated Amplifier,,,R42-187,Service manual QL-600
QL-600A,Integrated Amplifier,,,AEL-015,LAMP(DIAL/POWER)
QL-600A,Integrated Amplifier,,"VR1, VR2",C82-040,"100k-B, dual variable (BASS,TREBLE)"
QM-800,Amplifier,,,AEL-015,LAMP(DIAL/POWER)
QM-800,Amplifier,,,R42-188,Service manual QM-800
QM-800A,Amplifier,,,AEL-015,LAMP(DIAL/POWER)
QM-800A,Amplifier,,,AMM-017,CABINET
QM-800A,Amplifier,,,R42-261,Service manual QM-800A
SPEC-1,Pre-Amplifier,,,ARB-169,Operating Instructions SPEC-1
SPEC-1,Pre-Amplifier,,,ART-142,Service Manual SPEC-1
SPEC-2,Amplifier,,,75104Y31,Service Manual SPEC-2 (75104Y31F)
SPEC-2,Amplifier,,,AAD-109,KNOB(POWER)
SPEC-2,Amplifier,,,ARB-167,Operating Instructions SPEC-2
SPEC-2,Amplifier,,,ASH-014,SWITCH (IMPEDANCE)
SPEC-4,Amplifier,,,AAD-109,KNOB(POWER)
SPEC-4,Amplifier,,,ARB-235,Operating Instructions SPEC-4
SPEC-4,Amplifier,,,ART-224,Service Manual SPEC-4
QX-4000,Receiver,,,AEL-015,LAMP(DIAL/POWER)
QX-4000,Receiver,,,AMM-020,CABINET
QX-4000,Receiver,,,R42-278,Service manual QX-4000
QX-646,Receiver,,,ACV-008,"CONTROL(BALANCE ""FRONT""/""REAR"")"
QX-646,Receiver,,,ACV-109,CONTROL(BALANCE)
QX-646,Receiver,,,ASG-026,SWITCH(SPEAKER)
QX-646,Receiver,,,M42-071,TUNING SHAFT
QX-646,Receiver,,,R42-341,Service Manual QX-646
QX-747,Receiver,,,ACK-005,CAPACITOR (ELE)
QX-747,Receiver,,VR1/VR2,ACV-110-0,Variable Resistor 10k-B (TREBLE/BASS)
QX-747,Receiver,,,ART-005,Service manual QX-747
QX-747A,Receiver,,,ACK-005,CAPACITOR (ELE)
QX-747A,Receiver,,,AMM-037,Wood cabinet assembly
QX-8000,Receiver,,,ACV-303,CONTROL(VOLUME)
QX-8000,Receiver,,,AEL-015,LAMP(DIAL/POWER)
QX-8000,Receiver,,,AEL-019,PILOT LAMP(FUNCTIONS INDICATOR)
QX-8000,Receiver,,,AMM-004,CABINET
QX-8000,Receiver,,,ANB-051,FRONT PANEL
QX-8000,Receiver,,,ASG-005,SWITCH(TAPE MON/HI-/LOW FILTER)
QX-8000,Receiver,,,ASG-536 ????,SWITCH(POWER)
QX-8000,Receiver,,,R42-186,Service manual QX-8000
QX-8000A,Receiver,,,AEL-015,LAMP(DIAL/POWER)
QX-8000A,Receiver,,,AMM-004,CABINET
QX-8000A,Receiver,,,ANB-136,FRONT PANEL
QX-8000A,Receiver,,,ASG-536 ????,SWITCH(POWER)
QX-8000A,Receiver,,,R42-256,Service manual QX-8000A
QX-8000A,Receiver,,,S31-028,SWITCH(SPEAKER)
QX-949,Receiver,,,AAF-036,DIAL POINTER (AAF-020)
QX-949,Receiver,,,ACH-064,CAPACITOR(ALUMINUM) SUB ACH-233
QX-949,Receiver,,,ART-006,Service Manual QX-949
QX-949A,Receiver,,,AAE-007,KNOB (COUPLER)
QX-949A,Receiver,,,ARB-133,Operations manual QX-949A
QX-949A,Receiver,,,ART-140,Service manual QX-949A
QX-949A,Receiver,,,AXA-039,DIAL SHAFT ASSY
QX-9900,Receiver,,,AEL-015,LAMP(DIAL/POWER)
QX-9900,Receiver,,,ASG-536,SWITCH(POWER) ?????
QX-9900,Receiver,,,T42-025,BAR ANTENNA COIL
SA-9900,Integrated Amplifier,12,,ASG-077-B,"Push switch (S18, POWER) (Model D)"
SA-9900,Integrated Amplifier,12,,ASG-077-B,"Push switch (S18, POWER) (Model GN)"
TX-05,Tuner,,,AEL-383,LED(POWER)SAV1200BK
TX-05,Tuner,,,AEL-388,LED(STEREO/POWER)
TX-05,Tuner,,,ASG-538,SWITCH(POWER/FM MUTING)
TX-05,Tuner,,,ASG-703,SW(FUNCT/POWER/MUTE)
TX-05,Tuner,,,ASG-711,SW(FUNCT)POWER
TX-05,Tuner,,,BG5724S,LED CT730
TX-05,Tuner,,,PA4006-A,IC
TX-05,Tuner,,,PR5724S,LED CT730
TX-101Z,Tuner,,,AEL-434,LED TX101ZZUC
TX-101Z,Tuner,,,AEL-435,LED TX101ZZUC
TX-101Z,Tuner,,,ARP-476,S/M TX-100ZL/ZE
TX-1070R,Tuner,,,ASG-413,SWITCH(POWER/ON/STANDBY/SPKR)
TX-1070R,Tuner,,,ASG-703,SW(FUNCT/POWER/MUTE)
TX-1070R,Tuner,,,ASG-711,SW(FUNCT)POWER
TX-1090Z,Tuner,,,AEL1009,"LED(BAND,TUNING)TX1090Z"
TX-1090Z,Tuner,,,AEL1015,LED (MEMORY)TX1090Z
TX-1090Z,Tuner,,,ASG-711,SW(FUNCT)POWER
TX-1090Z,Tuner,,,ASG-712,SWITCH(STATION CALL/UP/DOWN)
TX-111Z,Tuner,,,SUJ8L2BBB4LF,SWITCH(FUNCTION-MW/LW/FM)
TX-130,Tuner,,,ASG-312,SWITCH(FUNCTION-AM/FM)
TX-1000,Tuner,,,A12-235,KNOB(TUNING/AM/FM AUTO)
TX-1000,Tuner,,,A12-237,KNOB(AM/FM/OUTPUT LEVEL)
TX-1000,Tuner,,,A12-238,KNOB(POWER/SELECTOR)
TX-1000,Tuner,,,A91-016,METER
TX-1000,Tuner,,,A91-017,METER
TX-1000,Tuner,,,AAF-004,DIAL POINTER
TX-1000,Tuner,,,AEC-012,FOOT
TX-1000,Tuner,,,AEL-002,PILOT LAMP AEL-019
TX-1000,Tuner,,,AEL-015,LAMP(DIAL/POWER)
TX-1000,Tuner,,,ANB-058,FRONT PANEL
TX-1000,Tuner,,,ARB-009,O/M TX-1000
TX-1000,Tuner,,,ASA-008,SWITCH(POWER)
TX-1000,Tuner,,,ATB-002,COIL FOR MW
TX-1000,Tuner,,,C81-017,CONTROL(AM OUTPUT LEVEL)
TX-1000,Tuner,,,C82-051,CONTROL(FM OUTPUT LEVEL)
TX-1000,Tuner,,,C85-058,CONTROL(MUTING LEVEL)
TX-1000,Tuner,,,M52-139,BONNET
TX-1000,Tuner,,,R42-191,S/M TX-1000
TX-1000,Tuner,,,S13-044,SWITCH(FUNCTION-FM/AM/MONO/AUTO
TX-1000,Tuner,,,T52-209,PWR XFMR TX-1000/K
TX-1060/BK,Tuner,,,ASG-413,SWITCH(POWER/ON/STANDBY/SPKR)
TX-1060/BK,Tuner,,,ASG-711,SW(FUNCT)POWER
TX-201Z,Tuner,,,ASG-413,SWITCH(POWER/ON/STANDBY/SPKR)
TX-201Z,Tuner,,,ASG-711,SW(FUNCT)POWER
TX-201Z,Tuner,,,ATS-095,PWR XFMR TX950
TX-220Z,Tuner,,,ASG-711,SW(FUNCT)POWER
TX-221Z,Tuner,,,ASG-711,SW(FUNCT)POWER
TX-3000,Tuner,,,AAD-146,BUTTON(AM/FM/MUTING/MONO)
TX-3000,Tuner,,,AAD-147,BUTTON(POWER)
TX-3000,Tuner,,,ASG-206,SWITCH(AM/FM/MUTING/MONO)
TX-3000,Tuner,,,ASG-504,SWITCH(POWER)
TX-408,Tuner,,,ASG-160,SWITCH(FUNCTION-AM/FM/MUTING)
TX-408,Tuner,,,ASG-513,SWITCH(POWER)
TX-410,Tuner,,,AAW-122,TUNING METER
TX-410,Tuner,,,AEC-609,FOOT ASSY
TX-410,Tuner,,,ANB-843,SUB PANEL
TX-410,Tuner,,,ANE-291,BONNET CASE
TX-410,Tuner,,,ARB-349,O/M TX-410
TX-410,Tuner,,,ART-482,S/M(TX410)
TX-410,Tuner,,,ASG-160,SWITCH(FUNCTION-AM/FM/MUTING)
TX-410,Tuner,,,ASG-513,SWITCH(POWER)
TX-530,Tuner,,,ACK-027,VARIABLE CAPACITOR
TX-530,Tuner,,,ANM-207,FRONT PANEL TX530
TX-530,Tuner,,,ASG-178,SWITCH(FUNCT-FM/MW/LW/AM/FM/AUT
TX-530,Tuner,,,ASG-313,SWITCH(FM MUTING/MODE)
TX-540,Tuner,,,AEL-382,"LED MEMO/AUTO TUNE/STEREO/PWR """
TX-540,Tuner,,,AEL-383,LED(POWER)SAV1200BK
TX-540,Tuner,,,ARP-353,"S/M TX-940,540"
TX-540,Tuner,,,ASG-413,SWITCH(POWER/ON/STANDBY/SPKR)
TX-540,Tuner,,,ASG-415,SWITCH(FUNCTION-AM/FM/MUTING)
TX-550,Tuner,,,AEL-382,"LED MEMO/AUTO TUNE/STEREO/PWR """
TX-550,Tuner,,,AEL-383,LED(POWER)SAV1200BK
TX-550,Tuner,,,ASG-413,SWITCH(POWER/ON/STANDBY/SPKR)
TX-550,Tuner,,,ASG-415,SWITCH(FUNCTION-AM/FM/MUTING)
TX-555Z,Tuner,,,ACH-389,CAPACITOR(3300/10V)TX555Z
TX-555Z,Tuner,,,AEL-382,"LED MEMO/AUTO TUNE/STEREO/PWR """
TX-555Z,Tuner,,,AEL-424,LED SX40
TX-555Z,Tuner,,,ASG-711,SW(FUNCT)POWER
TX-560/BK,Tuner,,,AEL-382,"LED MEMO/AUTO TUNE/STEREO/PWR """
TX-560/BK,Tuner,,,AEL-424,LED SX40
TX-560/BK,Tuner,,,ARP-822,S/M TX-560L(BK)
TX-560/BK,Tuner,,,ASG-413,SWITCH(POWER/ON/STANDBY/SPKR)
TX-500,Tuner,,,A12-144,KNOB(PWR/FUNCT/BAL/SELECT/SPKR)
TX-500,Tuner,,,A12-146,KNOB(TUNING)
TX-500,Tuner,,,AEL-015,LAMP(DIAL/POWER)
TX-500,Tuner,,,M42-018,DIAL DRUM
TX-500,Tuner,,,R12-026,O/M(TA500)
TX-500,Tuner,,,S11-014,SWITCH(MPX FILTER/NOISE SLO)
TX-500,Tuner,,,S11-016,SWITCH(POWER)
TX-500,Tuner,,,S13-027,SWITCH(FUNCTION/SELECTOR)
TX-500,Tuner,,,T42-022,BAR ANTENNA
TX-500,Tuner,,,T52-152,PWR XFMR TX-500/F
TX-500A,Tuner,,,A12-229,KNOB(PWR/SEL/VOL/MODE)
TX-500A,Tuner,,,A19-095,BUTTON(FUNCTION-MODE/TAPE...ETC
TX-500A,Tuner,,,AAA-003,KNOB(TUNING)
TX-500A,Tuner,,,ANE-004,BONNET
TX-500A,Tuner,,,ARB-036,O/M TX-500A
TX-500A,Tuner,,,ASA-008,SWITCH(POWER)
TX-500A,Tuner,,,ASK-009,SWITCH(MUTING/TAPE 1-2)
TX-500A,Tuner,,,ATB-009,BAR ANTENNA
TX-500A,Tuner,,,ATT-034,PWR XFMR
TX-500A,Tuner,,,R42-222,S/M(TX500A)
TX-500A,Tuner,,,S13-027,SWITCH(FUNCTION/SELECTOR)
TX-500A,Tuner,,,W72-002,ANTENNA ASSY
TX-520,Tuner,,,AEL-334,LED(STEREO INDICATOR)
TX-520,Tuner,,,ANE-291,BONNET CASE
TX-520,Tuner,,,ART-653,S/M(TX520)
TX-520,Tuner,,,ASG-261,SWITCH(FUNCTION-FM/MUTING)
TX-520,Tuner,,,ASG-516,SWITCH(POWER)
TX-520,Tuner,,,ATB-623,BAR ANTENNA
TX-5300,Tuner,,,AEL-015,LAMP(DIAL/POWER)
TX-5300,Tuner,,,ARB-130,O/M TX-5300
TX-5300,Tuner,,,ART-105,Service manual TX-5300
TX-5300,Tuner,,,ASK-082,Lever switch (FUNCTION)
TX-5500II,Tuner,,,ADE-005,CORD
TX-5500II,Tuner,,,ANB-482,FRONT PANEL
TX-5500II,Tuner,,,ANE-132,BONNET
TX-5500II,Tuner,,,ARB-209,O/M TX-5500/2
TX-5500II,Tuner,,,ART-211,S/M(TX5500-11)
TX-5500II,Tuner,,,ASK-082,SWITCH
TX-5500II,Tuner,,,ASK-108,SWITCH(POWER)
TX-5500II,Tuner,,,ATB-602,BAR ANTENNA
TX-5500II,Tuner,,,ATT-350,PWR XFMR TX-5500/2
TX-6700,Tuner,,,AEL-099,PILOT LAMP(DIAL POINTER)
TX-6700,Tuner,,,AEL-307,"LED(FUNCTIONS,POWER)"
TX-6700,Tuner,,,AEL-308,"LED(SOURCE/AUX/STEREO ""GREEN"")"
TX-6700,Tuner,,,AMS-020,SIDE BOARD (L)
TX-6700,Tuner,,,AMS-021,SIDE BOARD (R)
TX-6700,Tuner,,,AMS-022,TOP BOARD
TX-6700,Tuner,,,ANB-577,FRONT PANEL
TX-6700,Tuner,,,ARB-254,O/M TX-6700
